audio_filepath,text,label,category,speaker,take
training_data/audio_vad\sample_0079.wav,hey doctor,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0080.wav,hey หมอ,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0081.wav,hey หมอ,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0082.wav,hey หมอ,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0083.wav,hey there,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0084.wav,hey there,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0085.wav,hey there,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0086.wav,hey david,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0087.wav,hey david,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0088.wav,hey david,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0089.wav,hey jarvis,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0090.wav,hey jarvis,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0091.wav,hey jarvis,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0092.wav,โอเค deepgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0093.wav,โอเค deepgi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0094.wav,โอเค deepgi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0095.wav,เรียก deepgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0096.wav,เรียก deepgi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0097.wav,เรียก deepgi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0098.wav,ระบบ deepgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0099.wav,ระบบ deepgi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0100.wav,ระบบ deepgi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0101.wav,ชื่อ deepgi,0,hard_negative,tatthon,1
training_data/audio_vad\sample_0102.wav,ชื่อ deepgi,0,hard_negative,tatthon,2
training_data/audio_vad\sample_0103.wav,ชื่อ deepgi,0,hard_negative,tatthon,3
training_data/audio_vad\sample_0104.wav,เจอ polyp,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0105.wav,เจอ polyp,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0106.wav,เจอ polyp,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0107.wav,พบ bleeding,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0108.wav,พบ bleeding,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0109.wav,พบ bleeding,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0110.wav,มี lesion,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0111.wav,มี lesion,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0112.wav,มี lesion,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0113.wav,เจอ diverticulum,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0114.wav,เจอ diverticulum,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0115.wav,เจอ diverticulum,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0116.wav,ทำ biopsy,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0117.wav,ทำ biopsy,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0118.wav,ทำ biopsy,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0119.wav,ทำ resection,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0120.wav,ทำ resection,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0121.wav,ทำ resection,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0122.wav,polyp ที่ sigmoid,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0123.wav,polyp ที่ sigmoid,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0124.wav,polyp ที่ sigmoid,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0125.wav,bleeding ที่ rectum,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0126.wav,bleeding ที่ rectum,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0127.wav,bleeding ที่ rectum,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0128.wav,lesion ที่ colon,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0129.wav,lesion ที่ colon,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0130.wav,lesion ที่ colon,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0131.wav,sessile polyp,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0132.wav,sessile polyp,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0133.wav,sessile polyp,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0134.wav,flat lesion,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0135.wav,flat lesion,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0136.wav,flat lesion,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0137.wav,pedunculated polyp,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0138.wav,pedunculated polyp,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0139.wav,pedunculated polyp,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0140.wav,Boston score 8,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0141.wav,Boston score 8,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0142.wav,Boston score 8,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0143.wav,cecum reached,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0144.wav,cecum reached,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0145.wav,cecum reached,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0146.wav,ตรวจถึง cecum,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0147.wav,ตรวจถึง cecum,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0148.wav,ตรวจถึง cecum,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0149.wav,ไม่พบ lesion,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0150.wav,ไม่พบ lesion,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0151.wav,ไม่พบ lesion,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0152.wav,withdrawal 9 minutes,0,negative_medical,tatthon,1
training_data/audio_vad\sample_0153.wav,withdrawal 9 minutes,0,negative_medical,tatthon,2
training_data/audio_vad\sample_0154.wav,withdrawal 9 minutes,0,negative_medical,tatthon,3
training_data/audio_vad\sample_0155.wav,save image,0,negative_command,tatthon,1
training_data/audio_vad\sample_0156.wav,save image,0,negative_command,tatthon,2
training_data/audio_vad\sample_0157.wav,save image,0,negative_command,tatthon,3
training_data/audio_vad\sample_0158.wav,capture image,0,negative_command,tatthon,1
training_data/audio_vad\sample_0159.wav,capture image,0,negative_command,tatthon,2
training_data/audio_vad\sample_0160.wav,capture image,0,negative_command,tatthon,3
training_data/audio_vad\sample_0161.wav,สร้าง report,0,negative_command,tatthon,1
training_data/audio_vad\sample_0162.wav,สร้าง report,0,negative_command,tatthon,2
training_data/audio_vad\sample_0163.wav,สร้าง report,0,negative_command,tatthon,3
training_data/audio_vad\sample_0164.wav,เปิด report,0,negative_command,tatthon,1
training_data/audio_vad\sample_0165.wav,เปิด report,0,negative_command,tatthon,2
training_data/audio_vad\sample_0166.wav,เปิด report,0,negative_command,tatthon,3
training_data/audio_vad\sample_0167.wav,ดูภาพล่าสุด,0,negative_command,tatthon,1
training_data/audio_vad\sample_0168.wav,ดูภาพล่าสุด,0,negative_command,tatthon,2
training_data/audio_vad\sample_0169.wav,ดูภาพล่าสุด,0,negative_command,tatthon,3
training_data/audio_vad\sample_0170.wav,บันทึกข้อมูล,0,negative_command,tatthon,1
training_data/audio_vad\sample_0171.wav,บันทึกข้อมูล,0,negative_command,tatthon,2
training_data/audio_vad\sample_0172.wav,บันทึกข้อมูล,0,negative_command,tatthon,3
training_data/audio_vad\sample_0173.wav,capture ภาพนี้,0,negative_command,tatthon,1
training_data/audio_vad\sample_0174.wav,capture ภาพนี้,0,negative_command,tatthon,2
training_data/audio_vad\sample_0175.wav,capture ภาพนี้,0,negative_command,tatthon,3
training_data/audio_vad\sample_0176.wav,save ภาพนี้,0,negative_command,tatthon,1
training_data/audio_vad\sample_0177.wav,save ภาพนี้,0,negative_command,tatthon,2
training_data/audio_vad\sample_0178.wav,save ภาพนี้,0,negative_command,tatthon,3
training_data/audio_vad\sample_0179.wav,ตรวจต่อเลย,0,negative_command,tatthon,1
training_data/audio_vad\sample_0180.wav,ตรวจต่อเลย,0,negative_command,tatthon,2
training_data/audio_vad\sample_0181.wav,ตรวจต่อเลย,0,negative_command,tatthon,3
training_data/audio_vad\sample_0182.wav,เตรียม biopsy,0,negative_command,tatthon,1
training_data/audio_vad\sample_0183.wav,เตรียม biopsy,0,negative_command,tatthon,2
training_data/audio_vad\sample_0184.wav,เตรียม biopsy,0,negative_command,tatthon,3
training_data/audio_vad\sample_0185.wav,silence,0,noise,tatthon,1
training_data/audio_vad\sample_0186.wav,silence,0,noise,tatthon,2
training_data/audio_vad\sample_0187.wav,silence,0,noise,tatthon,3
training_data/audio_vad\sample_0188.wav,background noise,0,noise,tatthon,1
training_data/audio_vad\sample_0189.wav,background noise,0,noise,tatthon,2
training_data/audio_vad\sample_0190.wav,background noise,0,noise,tatthon,3
training_data/audio_vad\sample_0191.wav,room noise,0,noise,tatthon,1
training_data/audio_vad\sample_0192.wav,room noise,0,noise,tatthon,2
training_data/audio_vad\sample_0193.wav,room noise,0,noise,tatthon,3
training_data/audio_vad\sample_0194.wav,hey deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0195.wav,hey deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0196.wav,hey deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0197.wav,hey deep gi,1,positive,tatthon,1
training_data/audio_vad\sample_0198.wav,hey deep gi,1,positive,tatthon,2
training_data/audio_vad\sample_0199.wav,hey deep gi,1,positive,tatthon,3
training_data/audio_vad\sample_0200.wav,hey dgi,1,positive,tatthon,1
training_data/audio_vad\sample_0201.wav,hey dgi,1,positive,tatthon,2
training_data/audio_vad\sample_0202.wav,hey dgi,1,positive,tatthon,3
training_data/audio_vad\sample_0203.wav,hey d gi,1,positive,tatthon,1
training_data/audio_vad\sample_0204.wav,hey d gi,1,positive,tatthon,2
training_data/audio_vad\sample_0205.wav,hey d gi,1,positive,tatthon,3
training_data/audio_vad\sample_0206.wav,hey deepgee,1,positive,tatthon,1
training_data/audio_vad\sample_0207.wav,hey deepgee,1,positive,tatthon,2
training_data/audio_vad\sample_0208.wav,hey deepgee,1,positive,tatthon,3
training_data/audio_vad\sample_0209.wav,hey deep gee,1,positive,tatthon,1
training_data/audio_vad\sample_0210.wav,hey deep gee,1,positive,tatthon,2
training_data/audio_vad\sample_0211.wav,hey deep gee,1,positive,tatthon,3
training_data/audio_vad\sample_0212.wav,เฮ้ deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0213.wav,เฮ้ deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0214.wav,เฮ้ deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0215.wav,เฮ deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0216.wav,เฮ deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0217.wav,เฮ deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0218.wav,สวัสดี,0,general_speech,tatthon,1
training_data/audio_vad\sample_0219.wav,สวัสดี,0,general_speech,tatthon,2
training_data/audio_vad\sample_0220.wav,สวัสดี,0,general_speech,tatthon,3
training_data/audio_vad\sample_0221.wav,ได้ยินไหม,0,general_speech,tatthon,1
training_data/audio_vad\sample_0222.wav,ได้ยินไหม,0,general_speech,tatthon,2
training_data/audio_vad\sample_0223.wav,ได้ยินไหม,0,general_speech,tatthon,3
training_data/audio_vad\sample_0224.wav,โอเค,0,general_speech,tatthon,1
training_data/audio_vad\sample_0225.wav,โอเค,0,general_speech,tatthon,2
training_data/audio_vad\sample_0226.wav,โอเค,0,general_speech,tatthon,3
training_data/audio_vad\sample_0227.wav,เริ่มเลย,0,general_speech,tatthon,1
training_data/audio_vad\sample_0228.wav,เริ่มเลย,0,general_speech,tatthon,2
training_data/audio_vad\sample_0229.wav,เริ่มเลย,0,general_speech,tatthon,3
training_data/audio_vad\sample_0230.wav,หยุดก่อน,0,general_speech,tatthon,1
training_data/audio_vad\sample_0231.wav,หยุดก่อน,0,general_speech,tatthon,2
training_data/audio_vad\sample_0232.wav,หยุดก่อน,0,general_speech,tatthon,3
training_data/audio_vad\sample_0233.wav,ลองใหม่,0,general_speech,tatthon,1
training_data/audio_vad\sample_0234.wav,ลองใหม่,0,general_speech,tatthon,2
training_data/audio_vad\sample_0235.wav,ลองใหม่,0,general_speech,tatthon,3
training_data/audio_vad\sample_0236.wav,ช่วยหน่อย,0,general_speech,tatthon,1
training_data/audio_vad\sample_0237.wav,ช่วยหน่อย,0,general_speech,tatthon,2
training_data/audio_vad\sample_0238.wav,ช่วยหน่อย,0,general_speech,tatthon,3
training_data/audio_vad\sample_0239.wav,เปิดหน่อย,0,general_speech,tatthon,1
training_data/audio_vad\sample_0240.wav,เปิดหน่อย,0,general_speech,tatthon,2
training_data/audio_vad\sample_0241.wav,เปิดหน่อย,0,general_speech,tatthon,3
training_data/audio_vad\sample_0242.wav,ปิดหน่อย,0,general_speech,tatthon,1
training_data/audio_vad\sample_0243.wav,ปิดหน่อย,0,general_speech,tatthon,2
training_data/audio_vad\sample_0244.wav,ปิดหน่อย,0,general_speech,tatthon,3
training_data/audio_vad\sample_0245.wav,บันทึกไว้,0,general_speech,tatthon,1
training_data/audio_vad\sample_0246.wav,บันทึกไว้,0,general_speech,tatthon,2
training_data/audio_vad\sample_0247.wav,บันทึกไว้,0,general_speech,tatthon,3
training_data/audio_vad\sample_0248.wav,ดูตรงนี้,0,general_speech,tatthon,1
training_data/audio_vad\sample_0249.wav,ดูตรงนี้,0,general_speech,tatthon,2
training_data/audio_vad\sample_0250.wav,ดูตรงนี้,0,general_speech,tatthon,3
training_data/audio_vad\sample_0251.wav,ร้องเพลง,0,general_speech,tatthon,1
training_data/audio_vad\sample_0252.wav,ร้องเพลง,0,general_speech,tatthon,2
training_data/audio_vad\sample_0253.wav,ร้องเพลง,0,general_speech,tatthon,3
training_data/audio_vad\sample_0254.wav,ร้องเพลง,0,general_speech,tatthon,4
training_data/audio_vad\sample_0255.wav,ร้องเพลง,0,general_speech,tatthon,5
training_data/audio_vad\sample_0256.wav,เสียงลากยาว,0,general_speech,tatthon,1
training_data/audio_vad\sample_0257.wav,เสียงลากยาว,0,general_speech,tatthon,2
training_data/audio_vad\sample_0258.wav,เสียงลากยาว,0,general_speech,tatthon,3
training_data/audio_vad\sample_0259.wav,เสียงลากยาว,0,general_speech,tatthon,4
training_data/audio_vad\sample_0260.wav,เสียงลากยาว,0,general_speech,tatthon,5
training_data/audio_vad\sample_0261.wav,ร้องเพลง,0,general_speech,tatthon,1
training_data/audio_vad\sample_0262.wav,ร้องเพลง,0,general_speech,tatthon,2
training_data/audio_vad\sample_0263.wav,ร้องเพลง,0,general_speech,tatthon,3
training_data/audio_vad\sample_0264.wav,ร้องเพลง,0,general_speech,tatthon,4
training_data/audio_vad\sample_0265.wav,ร้องเพลง,0,general_speech,tatthon,5
training_data/audio_vad\sample_0266.wav,hey deepgi,1,positive,tatthon,1
training_data/audio_vad\sample_0267.wav,hey deepgi,1,positive,tatthon,2
training_data/audio_vad\sample_0268.wav,hey deepgi,1,positive,tatthon,3
training_data/audio_vad\sample_0269.wav,hey deepgi,1,positive,tatthon,4
training_data/audio_vad\sample_0270.wav,hey deepgi,1,positive,tatthon,5
training_data/audio_vad\sample_0271.wav,hey deep gi,1,positive,tatthon,1
training_data/audio_vad\sample_0272.wav,hey deep gi,1,positive,tatthon,2
training_data/audio_vad\sample_0273.wav,hey deep gi,1,positive,tatthon,3
training_data/audio_vad\sample_0274.wav,hey deep gi,1,positive,tatthon,4
training_data/audio_vad\sample_0275.wav,hey deep gi,1,positive,tatthon,5
